       value	     chindex	     chlabel	        bini	     ERPset
4.204	31	        HEOG	2	10
4.723	32	        VEOG	2	10
3.566	33	         NAZ	2	10
1.991	34	         FPz	2	10
2.101	35	         AFz	2	10
-0.542	36	         POZ	2	10
1.824	37	         AF3	2	10
1.657	38	         AF7	2	10
1.876	39	          F1	2	10
1.04	40	          F5	2	10
1.836	41	         FC1	2	10
0.784	42	         FC5	2	10
1.677	43	          C1	2	10
0.34	44	          C5	2	10
2.444	45	         AF4	2	10
2.118	46	         AF8	2	10
2.569	47	          F2	2	10
2.53	48	          F6	2	10
2.54	49	         FC2	2	10
2.474	50	         FC6	2	10
2.443	51	          C2	2	10
2.471	52	          C6	2	10
1.159	53	         CP1	2	10
0.089	54	         CP5	2	10
-0.266	55	          P1	2	10
-0.81	56	          P5	2	10
-0.879	57	         PO3	2	10
-0.693	58	         PO7	2	10
2.018	59	         CP2	2	10
2.124	60	         CP6	2	10
0.986	61	          P2	2	10
1.183	62	          P6	2	10
0.064	63	         PO4	2	10
-0.091	64	         PO8	2	10
-2.087	1	          Fz	1	11
-1.671	2	         FCz	1	11
-0.099	3	          Cz	1	11
2.033	4	         CPz	1	11
3.695	5	          Pz	1	11
2.18	6	          Oz	1	11
-1.769	7	         FP1	1	11
-1.982	8	          F3	1	11
-2.209	9	          F7	1	11
-0.407	10	         FC3	1	11
-1.116	11	         FT7	1	11
1.237	12	          C3	1	11
-0.984	13	         FP2	1	11
-1.387	14	          F4	1	11
0.151	15	          F8	1	11
-0.121	16	         FC4	1	11
0.096	17	         FT8	1	11
1.623	18	          C4	1	11
2.549	19	         CP3	1	11
0.213	20	         TP7	1	11
0.11	21	          LM	1	11
3.412	22	          P3	1	11
0.922	23	          P7	1	11
2.001	24	          O1	1	11
3.944	25	         CP4	1	11
2.398	26	         TP8	1	11
-0.11	27	          RM	1	11
5.727	28	          P4	1	11
3.616	29	          P8	1	11
3.265	30	          O2	1	11
2.875	31	        HEOG	1	11
-3.995	32	        VEOG	1	11
-1.823	33	         NAZ	1	11
-1.707	34	         FPz	1	11
-2.091	35	         AFz	1	11
4.358	36	         POZ	1	11
-2.254	37	         AF3	1	11
-2.421	38	         AF7	1	11
-2.091	39	          F1	1	11
-1.889	40	          F5	1	11
-1.468	41	         FC1	1	11
-0.826	42	         FC5	1	11
0.379	43	          C1	1	11
0.44	44	          C5	1	11
